date,variable,stream,value,se
2017-11-08,,QPA,0.256041667,
2017-11-09,,QPA,0.26653125,
2017-11-10,,QPA,0.215072917,
2017-11-11,,QPA,0.224822917,
2017-11-12,,QPA,0.25659375,
2017-11-13,,QPA,0.224708333,
2017-11-14,,QPA,0.207666667,
2017-11-15,,QPA,0.245541667,
2017-11-16,,QPA,0.205979167,
2017-11-17,,QPA,0.197791667,
2017-11-18,,QPA,0.195041667,
2017-11-19,,QPA,0.190791667,
2017-11-20,,QPA,0.189229167,
2017-11-21,,QPA,0.183802083,
2017-11-22,,QPA,0.178552083,
2017-11-23,,QPA,0.175572917,
2017-11-24,,QPA,0.176958333,
2017-11-25,,QPA,0.192739583,
2017-11-26,,QPA,0.17796875,
2017-11-27,,QPA,0.179489583,
2017-11-28,,QPA,0.176864583,
2017-11-29,,QPA,0.1766875,
2017-11-30,,QPA,0.173708333,
2017-12-01,,QPA,0.172208333,
2017-12-02,,QPA,0.17034375,
2017-12-03,,QPA,0.170083333,
2017-12-04,,QPA,0.174447917,
2017-12-05,,QPA,0.24309375,
2017-12-06,,QPA,0.2750625,
2017-12-07,,QPA,0.252645833,
2017-12-08,,QPA,0.209583333,
2017-12-09,,QPA,0.1943125,
2017-12-10,,QPA,0.188010417,
2017-12-11,,QPA,0.197979167,
2017-12-12,,QPA,0.182489583,
2017-12-13,,QPA,0.1810625,
2017-12-14,,QPA,0.177614583,
2017-12-15,,QPA,0.175708333,
2017-12-16,,QPA,0.187729167,
2017-12-17,,QPA,0.213458333,
2017-12-18,,QPA,0.22871875,
2017-12-19,,QPA,0.232552083,
2017-12-20,,QPA,0.191791667,
2017-12-21,,QPA,0.205260417,
2017-12-22,,QPA,0.203145833,
2017-12-23,,QPA,0.192947917,
2017-12-24,,QPA,0.230104167,
2017-12-25,,QPA,0.212947917,
2017-12-26,,QPA,0.210135417,
2017-12-27,,QPA,0.22296875,
2017-12-28,,QPA,0.209729167,
2017-12-29,,QPA,0.192177083,
2017-12-30,,QPA,0.18521875,
2017-12-31,,QPA,0.181177083,
2018-01-01,,QPA,0.199072917,
2018-01-02,,QPA,0.186041667,
2018-01-03,,QPA,0.175729167,
2018-01-04,,QPA,0.171729167,
2018-01-05,,QPA,0.184510417,
2018-01-06,,QPA,0.18853125,
2018-01-07,,QPA,0.176739583,
2018-01-08,,QPA,0.1734375,
2018-01-09,,QPA,0.193822917,
2018-01-10,,QPA,0.182020833,
2018-01-11,,QPA,0.250583333,
2018-01-12,,QPA,0.2100625,
2018-01-13,,QPA,0.212166667,
2018-01-14,,QPA,0.246510417,
2018-01-15,,QPA,0.215927083,
2018-01-16,,QPA,0.229739583,
2018-01-17,,QPA,0.240645833,
2018-01-18,,QPA,0.206208333,
2018-01-19,,QPA,0.200135417,
2018-01-20,,QPA,0.1948125,
2018-01-21,,QPA,0.189885417,
2018-01-22,,QPA,0.191791667,
2018-01-23,,QPA,0.193635417,
2018-01-24,,QPA,0.196833333,
2018-01-25,,QPA,0.250572917,
2018-01-26,,QPA,0.229427083,
2018-01-27,,QPA,0.28475,
2018-01-28,,QPA,0.274875,
2018-01-29,,QPA,0.3043125,
2018-01-30,,QPA,0.238947917,
2018-01-31,,QPA,0.202052083,
2018-02-01,,QPA,0.191760417,
2018-02-02,,QPA,0.196145833,
2018-02-03,,QPA,0.202958333,
2018-02-04,,QPA,0.192010417,
2018-02-05,,QPA,0.18115625,
2018-02-06,,QPA,0.17640625,
2018-02-07,,QPA,0.173416667,
2018-02-08,,QPA,0.174729167,
2018-02-09,,QPA,0.184354167,
2018-02-10,,QPA,0.1868125,
2018-02-11,,QPA,0.189177083,
2018-02-12,,QPA,0.210083333,
2018-02-13,,QPA,0.21734375,
2018-02-14,,QPA,0.189302083,
2018-02-15,,QPA,0.184104167,
2018-02-16,,QPA,0.248708333,
2018-02-17,,QPA,0.23334375,
2018-02-18,,QPA,0.206114583,
2018-02-19,,QPA,0.192291667,
2018-02-20,,QPA,0.210260417,
2018-02-21,,QPA,0.24803125,
2018-02-22,,QPA,0.242666667,
2018-02-23,,QPA,0.222625,
2018-02-24,,QPA,0.239322917,
2018-02-25,,QPA,0.241447917,
2018-02-26,,QPA,0.263770833,
2018-02-27,,QPA,0.22028125,
2018-02-28,,QPA,0.2098125,
2018-03-01,,QPA,0.210166667,
2018-03-02,,QPA,0.201260417,
2018-03-03,,QPA,0.1983125,
2018-03-04,,QPA,0.19490625,
2018-03-05,,QPA,0.191708333,
2018-03-06,,QPA,0.188895833,
2018-03-07,,QPA,0.186447917,
2018-03-08,,QPA,0.183145833,
